iteration, tot.est, tot.err, it.nreg, it.est, it.err,  it.fin.est, it.fin.err, it.fin.nreg, uneval.par.est, uneval.par.err, uneval.nreg
20,1.79125065357322525e-06,1.13456845781141647e-07,1048576,1.79125065357322525e-06,1.13456845781141647e-07,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
21,1.79125477014312246e-06,8.07054400542879976e-08,2097152,1.79125477014312246e-06,8.07054400542879976e-08,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
22,1.79128519217205883e-06,6.24298156962682786e-09,4194304,1.79128519217205883e-06,6.24298156962682786e-09,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
23,1.79130961368039038e-06,1.00499491146863748e-09,8388608,1.79130961368039038e-06,1.00499491146863748e-09,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
24,1.79132539829609024e-06,7.04391065838354223e-09,16777216,1.79132539829609024e-06,7.04391065838354223e-09,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
25,1.79132602259657426e-06,4.70194686751462314e-09,33554432,1.79132602259657426e-06,4.70194686751462314e-09,0.00000000000000000e+00,0.00000000000000000e+00,0,0.00000000000000000e+00,0.00000000000000000e+00,0
26,1.79132604242216496e-06,3.77850275240929979e-09,16777216,4.26032295436435444e-07,2.95614230956737828e-10,0.00000000000000000e+00,0.00000000000000000e+00,0,1.36529374698572956e-06,3.48288852145256201e-09,50331648
27,1.79132604446751193e-06,3.69288647758853906e-09,33554432,4.26032297481782366e-07,2.09997956135976920e-10,1.93743874704146344e-17,6.81306116401634805e-19,33462270,1.36529374698572956e-06,3.48288852145256201e-09,50331648
28,1.79132604995094425e-06,3.63390698045053313e-09,184324,4.26032302945840290e-07,1.51018458316664889e-10,3.69595134401693839e-17,1.24035169136839819e-18,23220,1.36529374698572956e-06,3.48288852145256201e-09,50331648
29,1.79132605029437418e-06,3.50756636844220992e-09,322208,4.26032303252310733e-07,2.46778450679904520e-11,9.33853366310783272e-09,9.81976476710874348e-18,28542,1.36529374698572956e-06,3.48288852145256201e-09,50331648
30,1.79132605042540425e-06,3.49409945108825907e-09,587332,4.16693769720232930e-07,1.12109178942743148e-11,1.71019659879095460e-07,2.72326513392520005e-16,49973,1.36529374698572956e-06,3.48288852145256201e-09,50331648
31,1.79132605044911630e-06,3.48845924310675234e-09,1074718,2.45674109864849470e-07,5.57043758625412631e-12,1.51318282861454500e-07,1.66697778720860620e-16,94548,1.36529374698572956e-06,3.48288852145256201e-09,50331648
32,1.79132605045195471e-06,3.48494432370629396e-09,1960340,9.43558270062336157e-08,2.05535148801715729e-12,6.75424423583992000e-08,7.78230653990829602e-17,228800,1.36529374698572956e-06,3.48288852145256201e-09,50331648
33,1.79132605045385736e-06,3.48346676667974753e-09,3463080,2.68133846497369575e-08,5.77716638405616423e-13,1.97126068528727590e-08,2.52120280218246810e-17,640576,1.36529374698572956e-06,3.48288852145256201e-09,50331648
34,1.79132605045414514e-06,3.48294229888751681e-09,5645008,7.10077779715192914e-09,5.32236341464812542e-14,6.12362757772918806e-09,6.93744375422120355e-18,1877887,1.36529374698572956e-06,3.48288852145256201e-09,50331648
35,1.79132605045416081e-06,3.48291705878467723e-09,7534242,9.77150219438583656e-10,2.79765938636790222e-14,8.77399166370308119e-10,6.55980287763311398e-19,3159893,1.36529374698572956e-06,3.48288852145256201e-09,50331648
36,1.79132605045416017e-06,3.48289450754886179e-09,8748698,9.97510530676004680e-11,5.42470206780688661e-15,8.62947977861283529e-11,9.81784843728595870e-20,5419720,1.36529374698572956e-06,3.48288852145256201e-09,50331648
37,1.79132605045416017e-06,3.48289109198249369e-09,6657956,1.34562552813224730e-11,2.00903752106311674e-15,7.82842343781947776e-12,3.71136852711525605e-21,5735516,1.36529374698572956e-06,3.48288852145256201e-09,50331648
38,1.79132605045416017e-06,3.48288947937288368e-09,1844880,5.62783184348187465e-12,3.96424199783270646e-16,4.03987710206022245e-12,6.14332406698056617e-22,1825054,1.36529374698572956e-06,3.48288852145256201e-09,50331648
39,1.79132605045416017e-06,3.48288912109952317e-09,39652,1.58795474141990131e-12,3.81502250798935991e-17,1.24010818784935620e-12,4.60440116947105000e-23,26276,1.36529374698572956e-06,3.48288852145256201e-09,50331648
40,1.79132605045416017e-06,3.48288908324739589e-09,26752,3.47846553570489273e-13,2.98051275484889744e-19,3.45311597696922313e-13,4.37891250532550310e-24,23296,1.36529374698572956e-06,3.48288852145256201e-09,50331648
41,1.79132605045416017e-06,3.48288908294934865e-09,6912,2.53495587356631278e-15,2.21938804026850349e-26,2.53495587356631278e-15,2.21938804026850349e-26,6912,1.36529374698572956e-06,3.48288852145256201e-09,50331648
42,1.79132605415549616e-06,2.62793755646085586e-09,16777216,3.75796497724638237e-07,3.25295442114616055e-10,7.35765381000183088e-18,6.03792718759407163e-19,16731994,9.89497252962427419e-07,2.30264155284945306e-09,33554432
43,1.79132604894689215e-06,2.59976534576571143e-09,90444,3.75796492508676369e-07,2.97123230815678531e-10,6.70035711457887832e-18,7.77781530965910144e-19,6764,9.89497252962427419e-07,2.30264155284945306e-09,33554432
44,1.79132605304630969e-06,2.44132283259637229e-09,167360,3.75796496601393722e-07,1.38680716868558105e-10,1.05780322081865467e-17,4.11411494937483891e-19,10572,9.89497252962427419e-07,2.30264155284945306e-09,33554432
45,1.79132605265662731e-06,2.32979586036226181e-09,313576,3.75796496201133279e-07,2.71537442230363283e-11,6.79166082929726155e-09,6.94591830789877750e-18,26464,9.89497252962427419e-07,2.30264155284945306e-09,33554432
46,1.79132605264286239e-06,2.31416625139150900e-09,574224,3.69004835358071106e-07,1.15241283063651721e-11,1.35932753989466945e-07,2.16604307227437733e-16,42884,9.89497252962427419e-07,2.30264155284945306e-09,33554432
47,1.79132605265133272e-06,2.30954508848959922e-09,1062680,2.33072081377074544e-07,6.90274880014794695e-12,1.36041428233281408e-07,1.31400763713489531e-16,91214,9.89497252962427419e-07,2.30264155284945306e-09,33554432
48,1.79132605265088697e-06,2.30509195286006398e-09,1942932,9.70306531433473188e-08,2.44948176984923316e-12,7.40210523111551460e-08,8.35374907344913109e-17,249657,9.89497252962427419e-07,2.30264155284945306e-09,33554432
49,1.79132605265212279e-06,2.30315366404187540e-09,3386550,2.30096008334279971e-08,5.11109414169690011e-13,1.66274192734968753e-08,2.20955818511526932e-17,679313,9.89497252962427419e-07,2.30264155284945306e-09,33554432
50,1.79132605265220707e-06,2.30271749956561366e-09,5414474,6.38218156001560921e-09,7.49228423262714099e-14,5.41191333342921943e-09,5.95632386374644018e-18,1954192,9.89497252962427419e-07,2.30264155284945306e-09,33554432
51,1.79132605265220495e-06,2.30268099052629472e-09,6920564,9.70268226584054030e-10,3.84078466835947825e-14,8.53157892210375477e-10,6.45939200986513081e-19,3160116,9.89497252962427419e-07,2.30264155284945306e-09,33554432
52,1.79132605265220389e-06,2.30265032164062205e-09,7520896,1.17110334372631704e-10,7.73831507150182628e-15,9.93394146928271205e-11,8.31686600890659082e-20,4828035,9.89497252962427419e-07,2.30264155284945306e-09,33554432
53,1.79132605265220389e-06,2.30264545997089042e-09,5385722,1.77709196796106552e-11,2.87656217102341839e-15,9.77869823974591746e-12,3.73580088298200685e-21,4829214,9.89497252962427419e-07,2.30264155284945306e-09,33554432
54,1.79132605265220368e-06,2.30264322508700081e-09,1113016,7.99222143983406909e-12,6.41674546056743378e-16,5.42885811291072231e-12,7.19461089042488115e-22,1090090,9.89497252962427419e-07,2.30264155284945306e-09,33554432
55,1.79132605265220368e-06,2.30264264628557135e-09,45852,2.56336332692056515e-12,6.28723970220870343e-17,1.97979958992834688e-12,7.26319160369500747e-23,33724,9.89497252962427419e-07,2.30264155284945306e-09,33554432
56,1.79132605265220368e-06,2.30264258356227785e-09,24256,5.83563736992135263e-13,1.49030678219413649e-19,5.82296259055351859e-13,7.22993581660636807e-24,22528,9.89497252962427419e-07,2.30264155284945306e-09,33554432
57,1.79132605265220368e-06,2.30264258341325423e-09,3456,1.26747793678315324e-15,1.10971033958823225e-26,1.26747793678315324e-15,1.10971033958823225e-26,3456,9.89497252962427419e-07,2.30264155284945306e-09,33554432
58,1.79132605250608076e-06,1.46687642871192658e-09,16777216,5.48635430158958875e-07,3.20443082842173147e-10,4.96190435704169988e-18,4.62274331771252112e-19,16726342,4.40861822657345408e-07,1.14643231530595220e-09,16777216
59,1.79132604631975593e-06,1.45622417794457092e-09,101748,5.48635423967672238e-07,3.09790831612543004e-10,5.16443854972246419e-18,6.37163115181858514e-19,7542,4.40861822657345408e-07,1.14643231530595220e-09,16777216
60,1.79132605116428740e-06,1.29550062584989077e-09,188412,5.48635428807039340e-07,1.49067278880700052e-10,9.77503023160886533e-18,4.42669093245447069e-19,13606,4.40861822657345408e-07,1.14643231530595220e-09,16777216
61,1.79132605102020603e-06,1.17346652278913897e-09,349612,5.48635428653182793e-07,2.70331753772789677e-11,9.33853361988192659e-09,9.42530139922872345e-18,26158,4.40861822657345408e-07,1.14643231530595220e-09,16777216
62,1.79132605098331711e-06,1.15704846218108649e-09,646908,5.39296894996411894e-07,1.06151053439249882e-11,2.46464825924082536e-07,3.66464076246145476e-16,51736,4.40861822657345408e-07,1.14643231530595220e-09,16777216
63,1.79132605098694241e-06,1.15353857858756120e-09,1190344,2.92832069075954818e-07,7.10485528632350056e-12,1.82495168589065352e-07,2.21955438385707578e-16,105425,4.40861822657345408e-07,1.14643231530595220e-09,16777216
64,1.79132605098707434e-06,1.14904731966577636e-09,2169838,1.10336900487021378e-07,2.61337440910025287e-12,7.76425069928284111e-08,8.85047801981526994e-17,259074,4.40861822657345408e-07,1.14643231530595220e-09,16777216
65,1.79132605098841435e-06,1.14684294726921071e-09,3821528,3.26943934955331183e-08,4.08913507754347271e-13,2.64558142900033411e-08,3.21846477126617465e-17,673406,4.40861822657345408e-07,1.14643231530595220e-09,16777216
66,1.79132605098849799e-06,1.14647873698414739e-09,6296244,6.23857920561339356e-09,4.46710380433778107e-14,5.44312183547153816e-09,5.67708308524243841e-18,2017677,4.40861822657345408e-07,1.14643231530595220e-09,16777216
67,1.79132605098850540e-06,1.14645353473508056e-09,8557134,7.95457370149015482e-10,1.94631118936967250e-14,7.16257021334094394e-10,5.39207627449747763e-19,3508846,4.40861822657345408e-07,1.14643231530595220e-09,16777216
68,1.79132605098850498e-06,1.14643807058144604e-09,10096576,7.92003488145631896e-11,3.99841905148085459e-15,6.89028838860993752e-11,7.24250858615662549e-20,5915375,4.40861822657345408e-07,1.14643231530595220e-09,16777216
69,1.79132605098850477e-06,1.14643558223711470e-09,8362402,1.02974649283484146e-11,1.51000229501659770e-15,6.03684576005978856e-12,3.32478904841582335e-21,6885054,4.40861822657345408e-07,1.14643231530595220e-09,16777216
70,1.79132605098850498e-06,1.14643432682485770e-09,2954696,4.26061916827315037e-12,2.54586713169649193e-16,3.23469183941034219e-12,4.31882529547808254e-22,2936146,4.40861822657345408e-07,1.14643231530595220e-09,16777216
71,1.79132605098850519e-06,1.14643409533540114e-09,37100,1.02592732886166535e-12,2.30968247548936232e-17,8.16421207323940705e-13,3.08428460088844415e-23,27652,4.40861822657345408e-07,1.14643231530595220e-09,16777216
72,1.79132605098850477e-06,1.14643407242488914e-09,18896,2.09506121537690212e-13,1.86281970081340061e-19,2.07921774116710855e-13,2.65972020566973227e-24,16736,4.40861822657345408e-07,1.14643231530595220e-09,16777216
73,1.79132605098850498e-06,1.14643407223860993e-09,4320,1.58434742097894924e-15,1.38708869228838531e-26,1.58434742097894924e-15,1.38708869228838531e-26,4320,4.40861822657345408e-07,1.14643231530595220e-09,16777216
74,1.79132604284398186e-06,3.40511972806973440e-10,16777216,4.40861814512822394e-07,3.40510215874315765e-10,3.40580449643738949e-18,2.69397517215932315e-19,16726835,0.00000000000000000e+00,0.00000000000000000e+00,0
75,1.79132603291590191e-06,3.85299707161014605e-10,100762,4.40861804581336735e-07,3.85297949958959404e-10,4.05397890386669954e-18,3.78976156715728961e-19,8790,0.00000000000000000e+00,0.00000000000000000e+00,0
76,1.79132603755894054e-06,1.46972662610282776e-10,183944,4.40861809220321570e-07,1.46970905029251417e-10,6.97649098712165580e-18,2.38462485606803478e-19,14070,0.00000000000000000e+00,0.00000000000000000e+00,0
77,1.79132603690038851e-06,2.81350063885538612e-11,339748,4.40861808554792749e-07,2.81332485690600123e-11,8.48957601427753021e-09,8.50640758930370121e-18,25720,0.00000000000000000e+00,0.00000000000000000e+00,0
78,1.79132603678208999e-06,1.07409146580552136e-11,628056,4.32372232422216857e-07,1.07391483321537764e-11,1.62623229804830507e-07,2.61165357764477658e-16,48480,0.00000000000000000e+00,0.00000000000000000e+00,0
79,1.79132603677974603e-06,7.81739912786045245e-12,1159152,2.69749002615042187e-07,7.81537163660124987e-12,1.59591896051970246e-07,1.48305132707737868e-16,103458,0.00000000000000000e+00,0.00000000000000000e+00,0
80,1.79132603677728710e-06,2.78791078566831358e-12,2111388,1.10157106560613109e-07,2.78573498927640322e-12,8.72131792574154325e-08,9.78982916041397125e-17,262809,0.00000000000000000e+00,0.00000000000000000e+00,0
81,1.79132603677808098e-06,3.50191255859503566e-13,3697158,2.29439273039914328e-08,3.47917561175989238e-13,1.74821463961681298e-08,2.36400581690676584e-17,682753,0.00000000000000000e+00,0.00000000000000000e+00,0
82,1.79132603677801449e-06,5.14385813279865377e-14,6028810,5.46178090775671250e-09,4.91412465863031554e-14,4.70496575469389142e-09,4.77386966751090074e-18,2020040,0.00000000000000000e+00,0.00000000000000000e+00,0
83,1.79132603677801258e-06,2.29329646897191412e-14,8017540,7.56815153061034262e-10,2.06308560783682507e-14,6.78467421302332719e-10,5.30968176115248137e-19,3422129,0.00000000000000000e+00,0.00000000000000000e+00,0
84,1.79132603677801216e-06,6.58813359655179291e-15,9190822,7.83477317582432591e-11,4.28549401702478606e-15,6.79035448077860156e-11,6.32897673266288445e-20,5477679,0.00000000000000000e+00,0.00000000000000000e+00,0
85,1.79132603677801195e-06,3.93501890032829393e-15,7426286,1.04441869503449182e-11,1.63231603103396057e-15,5.88408727143298380e-12,2.62571603640044596e-21,6287676,0.00000000000000000e+00,0.00000000000000000e+00,0

