id, heuristicID, value, epsrel, epsabs, estimate, errorest, regions, status, final, lastPhase, total_time
Genz4_5D_h4,    4,      1.79132603674878994e-06,        2.56000000000000067e-09,1.00000000000000005e-22,1.79132603677801195e-06,     3.93501890032829393e-15, 161756844,      154330558,      0,      1,      1,      2.84453523160000004e+04
Genz4_5D_h1,    1,      1.79132603674878994e-06,        2.56000000000000067e-09,1.00000000000000005e-22,1.79132603677801195e-06,     3.93501890032829393e-15, 161756844,      154330558,      0,      1,      1,      2.79693406749999995e+04
Genz4_5D_h2,    2,      1.79132603674878994e-06,        2.56000000000000067e-09,1.00000000000000005e-22,1.79132603677801195e-06,     3.93501890032829393e-15, 161756844,      154330558,      0,      1,      1,      2.78802816459999995e+04
